CMDLINE C:\Python\311\python.exe Vamprior_4branch.py
MEM 940.492188 1721046180.2466
MEM 941.292969 1721046180.3473
MEM 941.339844 1721046180.4480
MEM 941.468750 1721046180.5485
MEM 941.683594 1721046180.6488
MEM 944.171875 1721046180.7496
MEM 944.171875 1721046180.8508
MEM 944.199219 1721046180.9511
MEM 944.292969 1721046181.0518
MEM 944.238281 1721046181.1525
MEM 950.011719 1721046181.2535
MEM 950.019531 1721046181.3541
MEM 950.582031 1721046181.4551
MEM 950.621094 1721046181.5560
MEM 950.621094 1721046181.6570
MEM 950.621094 1721046181.7577
MEM 950.621094 1721046181.8584
MEM 918.179688 1721046181.9591
MEM 920.894531 1721046182.0598
MEM 921.062500 1721046182.1604
MEM 921.070312 1721046182.2610
MEM 921.070312 1721046182.3622
MEM 921.070312 1721046182.4628
MEM 921.070312 1721046182.5635
MEM 921.070312 1721046182.6640
MEM 921.074219 1721046182.7647
MEM 921.074219 1721046182.8652
MEM 921.074219 1721046182.9659
MEM 921.074219 1721046183.0665
MEM 921.074219 1721046183.1670
MEM 921.074219 1721046183.2677
MEM 921.074219 1721046183.3688
MEM 921.074219 1721046183.4692
MEM 921.078125 1721046183.5698
MEM 921.078125 1721046183.6701
MEM 921.078125 1721046183.7705
MEM 921.078125 1721046183.8710
MEM 921.078125 1721046183.9714
MEM 921.078125 1721046184.0720
MEM 921.078125 1721046184.1724
MEM 921.078125 1721046184.2731
MEM 921.078125 1721046184.3736
MEM 921.078125 1721046184.4746
MEM 921.078125 1721046184.5753
MEM 921.078125 1721046184.6758
MEM 921.078125 1721046184.7763
MEM 921.078125 1721046184.8768
MEM 921.078125 1721046184.9771
MEM 921.078125 1721046185.0777
MEM 921.078125 1721046185.1784
MEM 921.078125 1721046185.2789
MEM 921.078125 1721046185.3795
MEM 921.078125 1721046185.4800
MEM 921.078125 1721046185.5806
MEM 921.140625 1721046185.6812
MEM 921.140625 1721046185.7817
MEM 921.140625 1721046185.8824
MEM 921.140625 1721046185.9829
MEM 921.140625 1721046186.0834
MEM 921.144531 1721046186.1841
MEM 921.160156 1721046186.2846
MEM 921.171875 1721046186.3853
MEM 921.183594 1721046186.4858
MEM 921.191406 1721046186.5862
MEM 921.203125 1721046186.6868
MEM 921.214844 1721046186.7877
MEM 921.226562 1721046186.8882
MEM 921.238281 1721046186.9888
MEM 921.250000 1721046187.0894
MEM 921.316406 1721046187.1900
MEM 921.316406 1721046187.2905
MEM 921.316406 1721046187.3911
MEM 921.316406 1721046187.4917
MEM 921.316406 1721046187.5922
MEM 921.378906 1721046187.6925
MEM 921.378906 1721046187.7931
MEM 921.378906 1721046187.8936
MEM 921.378906 1721046187.9943
MEM 923.687500 1721046188.0953
MEM 923.882812 1721046188.1962
MEM 924.355469 1721046188.2974
MEM 924.414062 1721046188.3981
MEM 924.476562 1721046188.4988
MEM 924.523438 1721046188.5998
MEM 924.550781 1721046188.7009
MEM 931.640625 1721046188.8014
MEM 935.394531 1721046188.9021
MEM 940.449219 1721046189.0032
MEM 940.636719 1721046189.1035
MEM 940.656250 1721046189.2037
MEM 940.691406 1721046189.3043
MEM 940.691406 1721046189.4047
MEM 940.691406 1721046189.5059
MEM 940.691406 1721046189.6067
MEM 940.691406 1721046189.7076
MEM 940.691406 1721046189.8086
MEM 940.691406 1721046189.9095
MEM 940.691406 1721046190.0107
MEM 940.691406 1721046190.1118
MEM 940.691406 1721046190.2129
MEM 940.691406 1721046190.3138
MEM 940.691406 1721046190.4146
MEM 941.171875 1721046190.5150
MEM 941.179688 1721046190.6154
MEM 941.179688 1721046190.7166
MEM 941.179688 1721046190.8168
MEM 941.179688 1721046190.9176
MEM 941.179688 1721046191.0188
MEM 941.179688 1721046191.1202
MEM 941.179688 1721046191.2214
MEM 941.179688 1721046191.3222
MEM 941.179688 1721046191.4230
MEM 941.179688 1721046191.5239
MEM 941.179688 1721046191.6248
MEM 941.179688 1721046191.7255
MEM 941.179688 1721046191.8265
MEM 941.179688 1721046191.9274
MEM 941.179688 1721046192.0282
MEM 941.179688 1721046192.1289
MEM 949.023438 1721046192.2298
MEM 953.273438 1721046192.3304
MEM 953.070312 1721046192.4310
